file_name,user_id,phrase,authorized,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,rolloff_mean,rms_mean
Ayomide_confirm.wav,Ayomide,confirm,1,-478.20792,168.43689,74.71113,45.224148,22.079699,21.610847,10.452012,18.351126,8.0312,18.72576,2.0007846,13.22997,-9.42133,25.145292,-2.4368744,12.8077345,-9.0353,17.317743,1.7980713,9.181721,-4.1172004,8.036653,-6.833834,9.294129,-1.2443119,7.0513015,3802.978515625,0.014105204
Carine_confirm.wav,Carine,confirm,1,-529.76105,91.70553,131.59511,40.26895,-14.580716,31.83816,25.54396,17.885252,18.129715,18.245104,8.107359,10.078762,-12.352027,11.873005,12.7742405,8.820174,1.4448802,10.6736765,5.533758,10.651872,4.8141017,6.247822,1.2553546,7.903596,2.7482,6.9592414,1986.9164156626507,0.0052063866
Sage_yes.wav,Sage,yes,1,-521.1177,128.98384,68.98764,70.42344,17.119848,27.03615,7.324606,28.715193,18.238504,12.398146,19.122467,16.360199,-18.59492,24.30569,4.2182937,12.7671995,-0.93770176,10.193312,-5.078502,17.35345,0.5452063,12.377337,2.4435072,9.992869,-8.617332,9.897453,4122.50664893617,0.0051839477
Sage_confirm.wav,Sage,confirm,1,-534.06006,154.97533,87.86205,69.36967,4.679179,29.786905,2.6894534,30.904959,24.728886,20.968987,0.37669954,14.718446,-14.818953,16.633373,10.266943,10.524036,-2.4290833,15.414026,-3.8881154,14.304521,8.16008,8.511552,-1.8421271,9.422067,-12.068183,10.82361,3737.6302083333335,0.0062920707
Ayomide_yes.wav,Ayomide,yes,1,-476.74326,147.28882,49.72375,36.350243,32.590687,27.589672,10.351648,18.184479,9.47771,16.990566,3.539041,11.470882,-8.83691,24.198181,0.92328113,5.667832,-5.0741854,11.432688,-4.2698474,14.556445,-3.0808752,8.247744,-2.66376,7.4408765,-4.0772243,10.472194,4893.465909090909,0.015880384
Phinah_confirm.wav,Phinah,confirm,1,-294.50656,71.7076,64.26608,45.62911,8.692536,22.253227,-9.446304,21.733654,7.6350307,11.402625,-2.1300805,11.164534,-13.150142,14.64861,-4.7267613,10.088125,-8.242023,9.436952,-3.593562,7.198575,-8.9127445,6.191664,0.35353175,6.2515817,-1.3648378,4.681849,4409.160539215686,0.027720205
Carine_yes.wav,Carine,yes,1,-465.10052,100.57866,135.15558,48.18993,-16.204386,23.619757,32.43413,24.548208,15.333103,15.925138,6.307192,12.329559,-16.129107,12.350406,12.287147,11.985646,-7.623272,11.881182,0.27615732,7.903831,6.9904857,10.499878,5.1459856,11.531321,1.8846135,7.6149497,2247.8227459016393,0.008222931
Phinah_yes.wav,Phinah,yes,1,-324.11615,81.54569,59.871635,28.085121,4.0570407,23.777176,0.45367414,13.668143,13.661793,13.4103985,-0.44662496,16.630123,-1.1675664,11.651427,2.299354,10.272751,-6.3739285,10.659496,-3.2013993,8.121373,-3.8242285,5.268553,1.8024477,5.9942846,0.41369006,6.17362,4828.893442622951,0.024988066
confirm_pitchup.wav,Ayomide,confirm,1,-503.14835,175.63872,75.228035,36.91858,20.086132,16.867579,7.0924683,22.236101,6.200258,16.224997,-5.5559254,22.555141,-10.16241,21.99349,-3.8435223,12.133212,-7.2205644,15.077887,1.8209867,9.61506,-9.112577,9.984285,-1.0661466,6.8891416,4.1540337,7.909199,4134.602864583333,0.009661682
confirm_fast.wav,Ayomide,confirm,1,-500.9664,172.23691,72.14796,38.358932,24.308392,18.581383,9.645336,17.69687,7.9349933,18.252485,1.0624477,13.96288,-10.909867,26.120445,-2.5327773,12.866481,-9.441898,16.682314,1.7439625,8.423926,-3.4163237,7.5612717,-7.362897,7.458053,-1.1215343,6.3080363,4133.522727272727,0.009720185
